goodroadv,transport,pro3,tapwater,roadv,rm2c7d,rm2c7e,rm2c7g,animal_s,agrvisit,plant_s,agrext,irrigation,rm2c7c,pro5,pro4,rm2c7b,useschool,kgarten,v_prischool,broadcast,post,vpost,rm2c7a,rm2c7f,market,nonfarm,vmarket1,vmarket2,vmarket3,treatment,id_district,lnarea,lnpopden,city,reg8,rnongnghiep,rcongnghiep,rdichvu,year,tinh,post_treat
0,1,1,0,1,0,0.216360122,0,1,0.04,1,0,0,0,1,0,0.04361953586,0,0,1,0,1,1,0,0,0,0,0,0,0,0,101d15,2.196112871,5.437256813,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0.0109499041,0.1642485559,0,1,0.02,1,0,1,0.02123563364,0,0,0.02123563364,0,1,1,1,1,0,0.1916233301,0,0,1,0,0,0,0,101d15,2.621038914,5.582265377,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0,0,0,1,0.1,1,0,1,0.0118479766,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,101d15,2.624668598,5.46665287,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,0,0,0,1,0,0.0383582674,0,1,0,1,0,1,0.001921414165,0,0,0.00672494946,1,1,0,1,1,0,0.01150747947,0,0,1,0,0,0,0,101d15,3.013080835,4.852874279,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,0,1,0,1,0.008595988154,0.1193887293,0,1,0.07,0,0,1,0.004467434715,0,0,0.002939101774,1,0,1,1,1,1,0.1050620824,0.001432664809,1,1,1,1,0,0,101d15,2.147917747,5.498913765,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0.008574490435,0.3572704494,1,1,0.06,1,0,1,0.04299190268,0,0,0.02086985484,0,1,0,1,1,0,0.4001429081,0.007145409007,1,1,0,0,0,0,101d15,2.179286957,5.757730484,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0,0,0.01407185663,1,0.03,1,0,0,0.00320381741,0,0,0.002726653125,0,1,1,1,1,0,0.0335329324,0,0,1,1,0,0,0,101d17,2.137710333,5.976015568,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0,0,0,1,0.02,1,0,1,0.0009415014065,0,0,0.009415013716,0,1,1,1,1,1,0.07360912859,0,1,1,0,0,0,0,101d17,2.371177912,5.790768147,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0,0,0,1,0.02,0,0,0,0,1,1,0.007633587811,0,1,0,1,1,0,0.03741630539,0,1,1,1,0,0,0,101d17,1.757857919,6.081667423,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0.003240740625,0.02685185149,0.03796296194,1,0.03,1,0,1,0.002823901596,0,1,0.004518242553,0,1,1,1,1,1,0.0967592597,0.01203703694,1,1,1,1,0,0,101d17,1.648658633,6.029204845,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0,0,0,1,0.04,0,0,1,0.0003586028761,1,0,0.005737646017,0,1,0,1,1,0,0.05586592108,0,1,1,0,0,0,0,101d17,2.104134083,6.127774239,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0,0.1113467664,0,1,0.02,1,0,1,0.002106969245,0,0,0.003403565614,1,1,1,1,1,1,0.07423117757,0.009897490032,1,0,1,0,1,0,101d17,1.987874389,5.959804058,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0,0.1128577217,0,1,0.06,1,0,1,0.003928170539,0,1,0.003460531123,0,1,0,1,1,0,0.06045949087,0.02378073335,1,1,0,0,0,0,101d17,2.197224617,5.6191926,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0,0.04712892696,0,1,0.06,1,0,1,0.004881620873,0,0,0.009030998684,1,1,1,1,1,0,0.3499458432,0,0,1,0,0,0,0,101d19,1.769854665,5.750921726,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0,0,0,1,0.02,1,0,1,0,0,0,0.0007989879232,1,1,1,1,1,1,0,0,1,1,1,0,0,0,101d19,1.585145235,6.420555592,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0,0,0,1,0.01,0,0,0,0,0,0,0.007249467075,0,1,1,1,1,1,0,0,1,1,1,1,1,0,101d19,1.724550724,5.95470047,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0,0,0.8476380706,1,0.03,0,0,1,0.1006498188,0,1,0.004620938562,1,1,1,1,1,0,0.3107119203,0,1,0,0,0,0,0,101d21,1.280933857,6.034284592,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,1,1,0,0.07919999957,0,1,0.04,1,0,1,0.1861336678,0,1,0.00374765764,0,1,0,1,1,1,0.1231999993,0.01640000008,1,1,1,0,0,0,101d21,1.774952412,6.049093723,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,0,0,0,1,0,0,0.01259529311,1,0.05,1,0,1,0,1,0,0.005698817316,0,1,0,1,0,1,0.09943652898,0.008286377415,1,1,0,0,0,0,101d21,1.69561553,6.316402435,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,1,1,0,0,0,1,0.06,0,0,1,0.007136125118,0,0,0.00538575463,0,1,1,1,1,1,0.006635699887,0,1,0,1,1,0,0,101d21,1.669591784,6.341431618,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,1,1,0.00159817352,0.01643835567,0.006164383609,1,0.12,1,0,1,0.01484734379,0,0,0.003345880425,1,1,1,1,1,1,0.02694064006,0.08264840394,1,1,1,0,0,0,101d21,1.816777229,6.56802702,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,1,0,1,0.003703703638,0.007407407276,0.01851851866,1,0.02,1,0,1,0.001503759413,0,1,0.003759398591,0,1,0,1,1,1,0.1481481493,0.00555555569,1,1,1,0,0,0,101d21,0.9932518005,6.907755375,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,1,1,0,0,0.09236031771,1,0.08,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,101d23,1.064710736,6.404943466,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,1,1,0,0,0.0249617938,1,0.08,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,101d23,1.4109869,6.171242237,1,1,-0.1701940298,2.093684435,1.761859536,2006,101,0
1,1,0,0,1,0,0,0.01545253862,1,0.02,0,0,1,0,0,0,0.001320422511,0,1,0,1,1,0,0.0573951453,0,1,0,0,0,0,1,103d11,1.996874809,5.728455067,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,1,0,1,0,0,0,1,0.1,0,0,1,0,0,1,0.001851090114,0,0,1,1,1,0,0.08258258551,0,1,1,1,0,0,1,103d11,2.32727766,5.560306549,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,1,0,1,0,0,0,1,0.03,1,0,1,0,0,0,0.008290317841,0,1,1,1,1,1,0.06961613894,0,1,0,1,0,0,1,103d11,1.353254437,5.984333038,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,0,0,1,0,0,0,1,0.45,0,0,1,0.006980315316,0,0,0.005584252533,0,1,0,1,1,0,0.01818181761,0,1,0,0,0,0,1,103d11,1.717395067,5.755673885,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,0,0,1,0,0,0,1,0.04,0,0,0,0,0,0,0.003244295483,0,0,0,1,1,1,0.0519480519,0,1,1,1,1,1,1,103d11,1.572773933,6.172228813,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,1,0,1,0,0,0.08467400819,1,0.12,1,0,1,0.04818812758,0,0,0.005589822773,1,1,0,1,1,0,0,0,1,1,0,0,0,1,103d11,2.157559395,5.609704494,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,0,0,1,0,0,0.09246358275,1,0.03,1,0,1,0,0,0,0.004266076721,0,1,1,1,1,0,0.1969601065,0.002533248859,1,0,1,0,0,1,103d11,1.85269773,5.511849403,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,0,0,1,0.009694619104,0,0,1,0.06,0,0,1,0,0,1,0.003781512612,0,1,0,1,1,0,0.1900145411,0,1,1,0,1,0,1,103d11,2.124653816,5.507262707,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
1,1,0,0,1,0,0,0,1,0.04,1,0,1,0,0,0,0.007735583466,0,0,0,1,1,0,0,0,1,0,0,0,0,1,103d11,1.52605629,5.758078575,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
0,1,0,0,0,0,0,0,1,0.02,0,0,1,0.0142377438,0,0,0.006715916563,0,1,0,1,1,0,0.1702127606,0,1,1,0,0,0,1,103d11,1.778336406,5.627159119,1,1,0.1517603844,2.451999187,1.266805053,2006,103,0
