year,state,treatment,pupil_expenditure,teacher_salary,stateid,proficieny_mean,log_salary,post
1959,AK,0,3479.637451,50909.706,1,8.154970732,10.83782851,0
1960,AK,0,4127.874023,50050.31949,1,8.325760015,10.82080415,0
1961,AK,0,4334.307129,51040.4732,1,8.374547735,10.84039378,0
1962,AK,0,4494.90625,54001.7685,1,8.410922539,10.89679059,0
1963,AK,0,4654.535645,56718.8479,1,8.445812252,10.94587948,0
1964,AK,0,4768.814941,49350.99665,1,8.470062787,10.8067335,0
1965,AK,0,4847.786621,57040.68063,1,8.486483771,10.95153752,0
1966,AK,0,5468.977051,60052.88878,1,8.6070297,11.00299758,0
1967,AK,0,5924.72168,61656.31048,1,8.687057761,11.02934708,0
1968,AK,0,6011.810059,65335.34373,1,8.701647482,11.08730373,0
1969,AK,0,6293.150391,62743.08752,1,8.747375972,11.04681963,0
1970,AK,1,7443.007324,76263.4015,1,8.915164602,11.24196155,1
1971,AK,1,8297.78125,76045.01096,1,9.023863946,11.23909384,1
1972,AK,1,7248.181152,76570.00063,1,8.888643797,11.2459737,1
1973,AK,1,9513.760742,76943.31609,1,9.160599634,11.25083727,1
1974,AK,1,6679.010742,72480.40015,1,8.806874875,11.19108526,1
1975,AK,1,7998.824219,78273.18832,1,8.987174848,11.26797318,1
1976,AK,1,10595.74121,80554.25302,1,9.2683018,11.2966986,1
1977,AK,1,11013.63086,80590.76493,1,9.306979746,11.29715175,1
1978,AK,1,12062.58008,81219.17497,1,9.397946282,11.30491896,1
1979,AK,1,12816.25,78611.29212,1,9.458547199,11.27228335,1
1980,AK,1,14571.25684,76871.35435,1,9.586874783,11.24990159,1
1981,AK,1,14541.9375,76581.07401,1,9.58486076,11.24611831,1
1982,AK,1,15815.68848,78783.74578,1,9.668820894,11.27447468,1
1983,AK,1,15436.15137,82771.51926,1,9.64453231,11.32385139,1
1984,AK,1,15147.91699,83425.83185,1,9.625684323,11.33172526,1
1985,AK,1,15446.97754,84060.9945,1,9.64523337,11.33930984,1
1986,AK,1,14186.66211,83686.94941,1,9.560128,11.33485027,1
1987,AK,1,13589.11328,77759.23133,1,9.517097843,11.26138541,1
1988,AK,1,12792.85156,77105.74242,1,9.456719988,11.25294601,1
1989,AK,1,13324.86328,75885.24652,1,9.497462034,11.23699074,1
